Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
14,20-Mar-10,"Brabourne Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Group,151.0,9.0,155.0,3.0,Royal Challengers Bangalore,Wickets,7.0,Jacques Kallis
15,21-Mar-10,"Barabati Stadium, Cuttack",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,171.0,6.0,161.0,9.0,Deccan Chargers,Runs,10.0,Andrew Symonds
16,21-Mar-10,"M. A. Chidambaram Stadium, Chennai",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Group,136.0,8.0,136.0,7.0,Kings XI Punjab,Super Over,,Juan Theron
17,22-Mar-10,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Group,155.0,3.0,156.0,3.0,Mumbai Indians,Wickets,7.0,Sachin Tendulkar
18,23-Mar-10,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Group,171.0,5.0,135.0,7.0,Royal Challengers Bangalore,Runs,36.0,Robin Uthappa
19,24-Mar-10,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Group,183.0,5.0,152.0,10.0,Rajasthan Royals,Runs,31.0,Adam Voges
20,25-Mar-10,"M. Chinnaswamy Stadium, Bangalore",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,183.0,4.0,166.0,9.0,Delhi Daredevils,Runs,17.0,Kedar Jadhav
21,25-Mar-10,"Brabourne Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,180.0,2.0,181.0,5.0,Mumbai Indians,Wickets,5.0,Sachin Tendulkar
22,26-Mar-10,"Sardar Patel Stadium, Ahmedabad",Deccan Chargers,Rajasthan Royals,Deccan Chargers,Bat,Group,148.0,9.0,151.0,2.0,Rajasthan Royals,Wickets,8.0,Yusuf Pathan
23,27-Mar-10,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Group,183.0,5.0,144.0,6.0,Kolkata Knight Riders,Runs,39.0,Manoj Tiwary
